parent_cycle_start,entry_area,path_prefix,indirect_count,direct_count,direct_bytes
436,435,/data/delegates,10,28,1148
437,432,/data/cycle,0,3,36
442,434,/data/contracts,582,53294,1271849
440,439,/data/big_maps,410582,2756164,166888875
437,435,/data/big_maps,262510,1494537,86135203
437,431,/data/contracts,900,61593,1494279
435,430,/data/cycle,0,3,36
434,428,/data/delegates_with_frozen_balance,100,2,82
430,429,/data/delegates_with_frozen_balance,165,6,24
434,432,/data/rolls,0,11024,65074
441,434,/data/cycle,0,1,3
445,430,/data/commitments,0,9,369
431,429,/data/active_delegates_with_rolls,39,1,41
436,433,/data/rolls,0,2777,16424
442,437,/data/contracts,1040,78344,1862551
441,440,/data/active_delegates_with_rolls,101,7,287
443,435,/data/big_maps,196896,598166,28939567
440,432,/data/delegates,0,2,82
445,428,multiple,120,0,0
440,431,/data/contracts,790,52433,1241685
443,441,/data/delegates_with_frozen_balance,176,8,328
442,438,/data/delegates_with_frozen_balance,157,5,205
445,428,/data/delegates_with_frozen_balance,95,0,0
433,432,/data/delegates,3,2,82
445,440,/data/big_maps,196485,829702,44999759
438,436,/data/delegates_with_frozen_balance,102,0,0
443,428,/data/delegates_with_frozen_balance,106,0,0
442,429,/data/rolls,0,8292,48812
443,431,/data/rolls,0,4578,27116
444,443,/data/delegates_with_frozen_balance,255,14,352
439,438,/data/delegates_with_frozen_balance,227,11,229
438,436,/data/active_delegates_with_rolls,37,3,123
435,429,/data/commitments,0,42,1722
432,430,/data/big_maps,165595,983224,57599925
439,431,/data/delegates,1,7,287
435,428,/data/cache,0,2,8
439,434,/data/delegates,2,12,492
439,436,/data/rolls,0,4083,24067
438,433,/data/delegates,0,1,41
437,430,/data/big_maps,117080,366537,18333154
430,429,/data/votes,6,8,164
444,428,/data/rolls,0,238735,1756523
436,431,/data/delegates,1,7,287
441,440,/data/delegates_with_frozen_balance,243,15,393
433,428,/data/votes,7,0,0
439,433,/data/big_maps,245269,617083,29022574
440,439,/data/commitments,0,3,123
440,428,/data/votes,7,0,0
437,434,/data/contracts,951,84697,2086623
433,428,/data/delegates,369,2189,89749
442,432,/data/commitments,0,6,246
