parent_cycle_start,entry_area,path,kind,node_length,contents_size,count,bytes,indirect_count,direct_count,direct_bytes
441,436,/data/contracts/*/*/*/*,"Inode_root_values","Nl_0_32","Na",288,23612,0,802,6026
441,436,/data/big_maps/*/*/*/*,"Inode_root_values","Nl_0_32","Na",149081,8795779,149081,149081,596324
435,432,/data/big_maps/*/*/*,"Inode_root_values","Nl_0_32","Na",1441,343324,5406,3112,202280
442,441,/data/delegates_with_frozen_balance,"Inode_root_values","Nl_0_32","Na",1,114,0,6,24
435,429,/data/contracts/*/*,"Inode_root_values","Nl_0_32","Na",13452,1241699,1036,43661,354106
443,437,/data/big_maps/*/*,"Inode_root_values","Nl_0_32","Na",1208,96640,4832,0,0
437,435,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",227,65753,0,0,0
442,428,/data/sapling/*/*/*,"Inode_root_tree","Nl_33_256","Na",4,1276,0,0,0
436,435,/data/delegates/*,"Inode_root_values","Nl_0_32","Na",1,853,6,15,615
438,437,/data/cycle/*/*,"Inode_nonroot_values","Nl_33_256","Na",32,3330,0,128,1024
441,440,/data/rolls/*,"Inode_nonroot_values","Nl_16385_plus","Na",511,47849,0,1976,11659
439,428,/data/contracts/*/*/*,"Contents","Na","Cs_32_127",866023,58904498,0,0,0
441,438,/data/big_maps/*/*/*,"Inode_nonroot_tree","Nl_16385_plus","Na",2621,757062,0,0,0
440,435,/data/rolls/*/*/*/*,"Inode_root_tree","Nl_16385_plus","Na",1,361,0,0,0
440,439,/data/delegates_with_frozen_balance/*/*,"Inode_root_tree","Nl_33_256","Na",1,279,0,0,0
445,431,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",10,2810,0,0,0
443,439,/data/contracts/*/*/*,"Inode_root_tree","Nl_257_2048","Na",1,360,0,0,0
435,429,/data/delegates/*,"Inode_nonroot_values","Nl_2049_16384","Na",2,283,1,4,164
429,428,/data/contracts/*/*/*,"Inode_nonroot_tree","Nl_257_2048","Na",631,180469,0,0,0
444,437,/data/contracts/*/*/*/*,"Contents","Na","Cs_128_511",155,52145,0,0,0
444,437,/data/big_maps/*/*/*/*/*,"Contents","Na","Cs_128_511",3880,919285,0,0,0
442,430,/data/big_maps/*,"Inode_nonroot_values","Nl_16385_plus","Na",330,22121,0,690,4031
441,428,/data/delegates/*,"Inode_root_tree","Nl_33_256","Na",1,279,0,0,0
444,428,/data/delegates_with_frozen_balance/*/*,"Inode_nonroot_values","Multiple","Na",7,999,71,0,0
439,433,/data/contracts/*/*/*,"Inode_nonroot_values","Nl_257_2048","Na",243,70783,0,1147,51615
434,433,/data/votes/*/*,"Inode_root_values","Nl_0_32","Na",2,178,10,0,0
441,439,/data/rolls/*/*/*/*,"Inode_nonroot_values","Nl_16385_plus","Na",172,14605,0,565,3323
445,442,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",6221,1282336,7443,13118,852670
437,433,/data/contracts/*/*/*,"Contents","Na","Cs_0_31",17079,690911,0,0,0
433,428,/data/delegates/*,"Inode_root_tree","Nl_33_256","Na",1,279,0,0,0
443,431,/data/big_maps/*,"Inode_nonroot_values","Nl_16385_plus","Na",403,27435,0,870,5097
435,430,/data/big_maps/*/*/*,"Inode_nonroot_values","Nl_33_256","Na",2850,508510,3559,4922,319930
